scaffold	avg_allin.sort.bam	stdev_allin.sort.bam
NC_055868.1	74.06559	67.86252647816761
1112_NC_052974.1	34.94196	38.1550586423347
1113_NC_052974.1	186.3432	159.5657388037921
1150_NC_052974.1	17.47098	20.697717265437753
NC_055875.1	127.0125	127.2727681006428
1159_NC_052974.1	34.52436	39.728852865392426
1160_NC_052974.1	488.0043	319.3957576424584
1161_NC_052974.1	1257.633	539.3183197333464
1162_NC_052974.1	34.94196	38.96669731963436
1163_NC_052974.1	209.6523	191.4313845742124
1164_NC_052974.1	488.77019999999993	325.13931629380045
1190_NC_052974.1	17.47098	20.698097738681202
1293_NC_052974.1	174.7098	172.59714655810507
1299_NC_052974.1	157.6413	88.41975175264857
NC_055894.1	11432.789999999999	4127.789057110355
1300_NC_052974.1	1414.944	317.0007886425521
1301_NC_052974.1	62364.33	42087.76544317838
1302_NC_052974.1	24833.7	14954.270293130321
1303_NC_052974.1	15869.97	11934.279408493838
1304_NC_052974.1	925.8210000000001	342.89947506521503
1305_NC_052974.1	418.8861	185.97278026636047
1306_NC_052974.1	44678.07	28244.92432278762
NC_055897.1	35.68716	29.273375275154045
1323_NC_052974.1	716.1021	484.35601575700497
1325_NC_052974.1	506.6586	461.51882410146607
1326_NC_052974.1	401.4846	392.4368102000626
1327_NC_052974.1	227.0538	116.33754767915644
1328_NC_052974.1	884.7567	581.1120804113436
1329_NC_052974.1	2301.9300000000003	800.4084894602255
1344_NC_052974.1	17.47098	20.697825972792412
NC_055900.1	535.6071	299.0388352706049
1348_NC_052974.1	297.0072	238.75552349631621
1349_NC_052974.1	17.47098	20.697717265437753
1350_NC_052974.1	261.92609999999996	226.74374302282303
1351_NC_052974.1	34.94196	28.97524805760945
1352_NC_052974.1	111.6018	78.98621715210824
