contigName	contigLen	totalAvgDepth	err65.sort.bam	err65.sort.bam-var
0_NC_052974.1	13080	0	0	0
1_NC_052974.1	13080	0	0	0
2_NC_052974.1	13080	0	0	0
3_NC_052974.1	13080	0	0	0
4_NC_052974.1	7169	0	0	0
NC_052978.1	5820	0	0	0
5_NC_052974.1	13080	0	0	0
6_NC_052974.1	13080	0	0	0
7_NC_052974.1	13080	0	0	0
8_NC_052974.1	13080	0	0	0
9_NC_052974.1	1916	0	0	0
NC_055956.1	11100	0	0	0
10_NC_052974.1	13080	0	0	0
11_NC_052974.1	13080	0	0	0
12_NC_052974.1	12016	0	0	0
NC_056724.1	960	0	0	0
13_NC_052974.1	13080	0	0	0
14_NC_052974.1	13080	0	0	0
15_NC_052974.1	12883	0	0	0
NC_055706.1	120	0	0	0
16_NC_052974.1	13080	0	0	0
17_NC_052974.1	13080	0	0	0
18_NC_052974.1	13080	0	0	0
19_NC_052974.1	13080	0	0	0
20_NC_052974.1	13080	0	0	0
21_NC_052974.1	13080	0	0	0
22_NC_052974.1	13080	0	0	0
23_NC_052974.1	7837	0	0	0
NC_055707.1	5160	0	0	0
24_NC_052974.1	13080	0	0	0
25_NC_052974.1	13080	0	0	0
26_NC_052974.1	13080	0	0	0
27_NC_052974.1	1905	0	0	0
NC_055708.1	11100	0	0	0
28_NC_052974.1	13080	0	0	0
29_NC_052974.1	13080	0	0	0
30_NC_052974.1	13080	0	0	0
31_NC_052974.1	13080	0	0	0
32_NC_052974.1	13080	0	0	0
33_NC_052974.1	13080	0	0	0
34_NC_052974.1	13080	0	0	0
35_NC_052974.1	13080	0	0	0
36_NC_052974.1	13080	0	0	0
37_NC_052974.1	13080	0	0	0
38_NC_052974.1	13080	0	0	0
39_NC_052974.1	13080	0	0	0
40_NC_052974.1	1960	0	0	0
NC_055709.1	11040	0	0	0
41_NC_052974.1	13080	0	0	0
42_NC_052974.1	13080	0	0	0
43_NC_052974.1	13080	0	0	0
44_NC_052974.1	13080	0	0	0
45_NC_052974.1	13080	0	0	0
46_NC_052974.1	13080	0	0	0
47_NC_052974.1	13080	0	0	0
48_NC_052974.1	13080	0	0	0
49_NC_052974.1	5762	0	0	0
NC_055710.1	7200	0	0	0
50_NC_052974.1	13080	0	0	0
51_NC_052974.1	13080	0	0	0
52_NC_052974.1	13080	0	0	0
53_NC_052974.1	13080	0	0	0
54_NC_052974.1	13080	0	0	0
55_NC_052974.1	13080	0	0	0
56_NC_052974.1	13080	0	0	0
57_NC_052974.1	13080	0	0	0
58_NC_052974.1	13080	0	0	0
59_NC_052974.1	13080	0	0	0
60_NC_052974.1	13080	0	0	0
61_NC_052974.1	13080	0	0	0
62_NC_052974.1	8070	0	0	0
NC_055711.1	4920	0	0	0
63_NC_052974.1	13080	0	0	0
64_NC_052974.1	13080	0	0	0
65_NC_052974.1	12410	0	0	0
NC_055712.1	600	0	0	0
66_NC_052974.1	13080	0	0	0
67_NC_052974.1	13080	0	0	0
68_NC_052974.1	13080	0	0	0
69_NC_052974.1	13080	0	0	0
70_NC_052974.1	13080	0	0	0
71_NC_052974.1	13080	0	0	0
72_NC_052974.1	13080	0	0	0
73_NC_052974.1	13080	0	0	0
74_NC_052974.1	13080	0	0	0
75_NC_052974.1	13080	0	0	0
76_NC_052974.1	13080	0	0	0
77_NC_052974.1	13080	0	0	0
78_NC_052974.1	13080	0	0	0
79_NC_052974.1	958	0	0	0
NC_055714.1	12060	0	0	0
80_NC_052974.1	13080	0	0	0
81_NC_052974.1	13080	0	0	0
82_NC_052974.1	13080	0	0	0
83_NC_052974.1	13080	0	0	0
84_NC_052974.1	6299	0	0	0
NC_055715.1	6720	0	0	0
85_NC_052974.1	13080	0	0	0
86_NC_052974.1	13080	0	0	0
87_NC_052974.1	13080	0	0	0
88_NC_052974.1	13080	0	0	0
89_NC_052974.1	13080	0	0	0
90_NC_052974.1	13080	0	0	0
91_NC_052974.1	13080	0	0	0
92_NC_052974.1	13080	0	0	0
93_NC_052974.1	13080	0	0	0
94_NC_052974.1	13080	0	0	0
95_NC_052974.1	13080	0	0	0
96_NC_052974.1	13080	0	0	0
97_NC_052974.1	3354	0	0	0
NC_055716.1	9660	0	0	0
98_NC_052974.1	13080	0	0	0
99_NC_052974.1	13080	0	0	0
100_NC_052974.1	13080	0	0	0
101_NC_052974.1	13080	0	0	0
102_NC_052974.1	13080	0	0	0
103_NC_052974.1	13080	0	0	0
104_NC_052974.1	13080	0	0	0
105_NC_052974.1	13080	0	0	0
106_NC_052974.1	13080	0	0	0
107_NC_052974.1	13080	0	0	0
108_NC_052974.1	13080	0	0	0
109_NC_052974.1	13080	0	0	0
110_NC_052974.1	1153	0	0	0
NC_055717.1	11820	0	0	0
111_NC_052974.1	13080	0	0	0
112_NC_052974.1	13080	0	0	0
113_NC_052974.1	13080	0	0	0
114_NC_052974.1	13080	0	0	0
115_NC_052974.1	10185	0	0	0
NC_055718.1	2820	0	0	0
116_NC_052974.1	13080	0	0	0
117_NC_052974.1	13080	0	0	0
118_NC_052974.1	13080	0	0	0
119_NC_052974.1	13080	0	0	0
120_NC_052974.1	13080	0	0	0
121_NC_052974.1	13080	0	0	0
122_NC_052974.1	13080	0	0	0
123_NC_052974.1	13080	0	0	0
124_NC_052974.1	13080	0	0	0
125_NC_052974.1	13080	0	0	0
126_NC_052974.1	13080	0	0	0
127_NC_052974.1	13080	0	0	0
128_NC_052974.1	13080	0	0	0
129_NC_052974.1	13080	0	0	0
130_NC_052974.1	630	0	0	0
NC_055719.1	12360	0	0	0
131_NC_052974.1	13080	0	0	0
132_NC_052974.1	13080	0	0	0
133_NC_052974.1	13080	0	0	0
134_NC_052974.1	13080	0	0	0
135_NC_052974.1	13080	0	0	0
136_NC_052974.1	13080	0	0	0
137_NC_052974.1	13080	0	0	0
138_NC_052974.1	13080	0	0	0
139_NC_052974.1	13080	0	0	0
140_NC_052974.1	13080	0	0	0
141_NC_052974.1	13080	0	0	0
142_NC_052974.1	13080	0	0	0
143_NC_052974.1	4911	0	0	0
NC_055720.1	8100	0	0	0
144_NC_052974.1	13080	0	0	0
145_NC_052974.1	13080	0	0	0
146_NC_052974.1	13080	0	0	0
147_NC_052974.1	13080	0	0	0
148_NC_052974.1	13080	0	0	0
149_NC_052974.1	13080	0	0	0
150_NC_052974.1	13080	0	0	0
151_NC_052974.1	13080	0	0	0
152_NC_052974.1	13080	0	0	0
153_NC_052974.1	13080	0	0	0
154_NC_052974.1	13080	0	0	0
155_NC_052974.1	13080	0	0	0
156_NC_052974.1	1382	0	0	0
NC_055721.1	11580	0	0	0
157_NC_052974.1	13080	0	0	0
158_NC_052974.1	13080	0	0	0
159_NC_052974.1	13080	0	0	0
160_NC_052974.1	13080	0	0	0
161_NC_052974.1	13080	0	0	0
162_NC_052974.1	13080	0	0	0
163_NC_052974.1	13080	0	0	0
164_NC_052974.1	13080	0	0	0
165_NC_052974.1	13080	0	0	0
166_NC_052974.1	13080	0	0	0
167_NC_052974.1	13080	0	0	0
168_NC_052974.1	13080	0	0	0
169_NC_052974.1	6897	0	0	0
NC_055722.1	6120	0	0	0
170_NC_052974.1	13080	0	0	0
171_NC_052974.1	12890	0	0	0
NC_055726.1	120	0	0	0
172_NC_052974.1	13080	0	0	0
173_NC_052974.1	13080	0	0	0
174_NC_052974.1	13080	0	0	0
175_NC_052974.1	13080	0	0	0
176_NC_052974.1	13080	0	0	0
177_NC_052974.1	13080	0	0	0
178_NC_052974.1	13080	0	0	0
179_NC_052974.1	13080	0	0	0
180_NC_052974.1	13080	0	0	0
181_NC_052974.1	13080	0	0	0
182_NC_052974.1	13080	0	0	0
183_NC_052974.1	13080	0	0	0
184_NC_052974.1	13080	0	0	0
185_NC_052974.1	1815	0	0	0
NC_055727.1	11160	0	0	0
186_NC_052974.1	13080	0	0	0
187_NC_052974.1	13080	0	0	0
188_NC_052974.1	13080	0	0	0
189_NC_052974.1	13080	0	0	0
190_NC_052974.1	13080	0	0	0
191_NC_052974.1	13080	0	0	0
192_NC_052974.1	13080	0	0	0
193_NC_052974.1	13080	0	0	0
194_NC_052974.1	13080	0	0	0
195_NC_052974.1	13080	0	0	0
196_NC_052974.1	13080	0	0	0
197_NC_052974.1	8429	0	0	0
NC_055728.1	4560	0	0	0
198_NC_052974.1	13080	0	0	0
199_NC_052974.1	13080	0	0	0
200_NC_052974.1	13080	0	0	0
201_NC_052974.1	13080	0	0	0
